id,name,quantity,unit,price,clubcard_price,price_diff,reduction_percent
1007,Tesco Figs,,,2.0,1.5,0.5,25.0
2105,Mighty Barista M.Lk Uht Drink,1.0,l,2.0,1.5,0.5,25.0
1052,Mattessons Smoked Pork Sausage Original,260.0,g,3.0,2.25,0.75,25.0
254,Pukka All Steak Pie,,,2.0,1.5,0.5,25.0
1746,Plenish Turmeric Defence Shot,60.0,ml,2.0,1.5,0.5,25.0
748,Pure Dairy Free Buttery Spread,500.0,g,2.0,1.5,0.5,25.0
1781,Ufit High Protein Milkshake White Chocolate Flavoured,330.0,ml,2.0,1.5,0.5,25.0
421,Lurpak Slightly Salted Spreadable Blend of Butter and Rapeseed Oil 400g,400.0,g,4.0,3.0,1.0,25.0
2047,Bol Spanish Smoky Butter Bean Stew Power Pot,450.0,g,3.25,2.45,0.7999999999999998,24.6
2080,Bol Creamy Coconut Turmeric Daal Power Pot,450.0,g,3.25,2.45,0.7999999999999998,24.6
434,Vitalite Dairy Free Spread 500G,500.0,g,2.25,1.7,0.55,24.4
1386,Dairylea Dunkers Ritz Cheese Snacks,643.0,g,3.3,2.5,0.7999999999999998,24.2
453,Dairylea Dunkers Jumbo Tubes Cheese Snacks,6.0,pack,3.3,2.5,0.7999999999999998,24.2
1235,Tesco Beef Lasagne,1.5,kg,7.9,6.0,1.9000000000000004,24.1
1717,Higgidy Spinach Feta Red Pepper Quiche,400.0,g,4.6,3.5,1.0999999999999996,23.9
61,Tesco British Large Whole Chicken 1.5Kg - 1.9Kg,,kg,5.25,4.0,1.25,23.8
1080,The Laughing Cow Light Cheese Spread Triangles 16Pk 267G,16.0,267g,2.95,2.25,0.7000000000000002,23.7
1490,The Laughing Cow Original Cheese Spread Triangles,16.0,pk,2.95,2.25,0.7000000000000002,23.7
1796,Cawston Press Brilliant Beetroot Juice,1.0,l,3.0,2.3,0.7000000000000002,23.3
580,Pilgrims Choice Mature Cheddar Cheese 550 G,550.0,g,5.2,4.0,1.2000000000000002,23.1
531,Petits Filous Kids Strawberry & Raspberry Yoghurt Small Pots,6.0,x 47g,1.95,1.5,0.44999999999999996,23.1
530,Petits Filous Strawberry & Apricot Kids Yoghurt Big Pots 4x85g,4.0,units,1.95,1.5,0.44999999999999996,23.1
750,Dairylea Cheese Spread,145.0,g,1.95,1.5,0.44999999999999996,23.1
1056,Petits Filous Strawberry & Banana No Added Sugar Kids Yoghurt Pots,282.0,g,1.95,1.5,0.44999999999999996,23.1
495,Petits Filous Kids Strawberry & Raspberry Yoghurt Big Pots,4.0,x85g,1.95,1.5,0.44999999999999996,23.1
507,Wall's Jumbo Sausages Roll 130G,1.0,unit,1.1,0.85,0.2500000000000001,22.7
1389,Rustlers Bbq Pork Rib Sandwich,157.0,g,2.25,1.75,0.5,22.2
1014,ProActiv Buttery Taste Spread 450G,450.0,g,4.5,3.5,1.0,22.2
875,Benecol Buttery Spread,500.0,g,4.5,3.5,1.0,22.2
1797,Rustlers Southern Fried Chicken Sandwich,158.0,g,2.25,1.75,0.5,22.2
1112,ProActiv Light Spread,450.0,g,4.5,3.5,1.0,22.2
1590,Plenish Organic Oat Longlife Dairy Free Drink,1.0,l,2.25,1.75,0.5,22.2
2043,Vadasz Raw Kimchi,400.0,g,4.5,3.5,1.0,22.2
1585,Plenish Organic Oat Longlife Dairy Free Drink,1.0,l,2.25,1.75,0.5,22.2
956,Rustlers Quarter Pounder Cheese Burger,190.0,g,2.25,1.75,0.5,22.2
1077,Benecol Light Spread 500G,1.0,500g,4.5,3.5,1.0,22.2
1820,Higgidy Cheddar & Onion Veggie Rolls,160.0,g,3.2,2.5,0.7000000000000002,21.9
2151,Rude Health Coconut With Calcium Chilled Dairy Free Drink,1.0,l,2.3,1.8,0.4999999999999998,21.7
1987,Rude Health Almond With Calcium Chilled Dairy Free Drink,1.0,l,2.3,1.8,0.4999999999999998,21.7
1464,Copella Apple And Elderflower Juice,1.35,l,3.5,2.75,0.75,21.4
1279,Copella Apple Juice,1.35,l,3.5,2.75,0.75,21.4
1714,Califia Farms Oat Barista Chilled Dairy Free Drink,1.0,l,2.1,1.65,0.4500000000000002,21.4
1274,Copella Apple Juice,1.35,litre,3.5,2.75,0.75,21.4
1184,Tesco Basted Pork Loin Joint,800.0,g,7.0,5.5,1.5,21.4
1299,Tesco Chinese Leaf Each,1.0,each,1.4,1.1,0.2999999999999998,21.4
2218,Mighty Pea M.Lk Unsweetened Milk Alternative,1.0,litre,1.9,1.5,0.3999999999999999,21.1
1986,Tesco Finest 2 Yellow Fin Tuna Steaks,240.0,g,8.2,6.5,1.6999999999999993,20.7
1456,The Vegetarian Butcher What the Cluck Vegan Chicken Chunks,160.0,g,3.15,2.5,0.6499999999999999,20.6
183,Tesco Finest 10 Traditional Pork Sausages 667G,667.0,g,5.0,4.0,1.0,20.0
2041,"Tesco Gloucester Chive, Onion Truckle",100.0,g,1.25,1.0,0.25,20.0
431,ProActiv Buttery Taste Spread 250G,250.0,g,2.5,2.0,0.5,20.0
387,Le Rustique Pasteurised Camembert,250.0,g,3.0,2.4,0.6000000000000001,20.0
1342,Tesco Finest Blueberries 150G,150.0,g,2.5,2.0,0.5,20.0
885,Tesco Prawn Cocktail,170.0,g,2.5,2.0,0.5,20.0
200,Jaffa Orange,,,2.0,1.6,0.3999999999999999,20.0
1257,Simon Howie Black Pudding,240.0,g,1.5,1.2,0.30000000000000004,20.0
1999,Alpro Caramel Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,0.3500000000000001,18.9
1441,Alpro Vanilla Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,0.3500000000000001,18.9
1253,Alpro Dark Chocolate Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,0.3500000000000001,18.9
1542,Alpro Chocolate Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,0.3500000000000001,18.9
628,Tesco Finest 12 Beef & Herb Meatballs,12.0,meatballs,3.7,3.0,0.7000000000000002,18.9
460,Happy Egg Free Range Eggs Medium,6.0,pack,2.15,1.75,0.3999999999999999,18.6
471,Tesco Boneless Half Salmon Side,500.0,g,9.2,7.5,1.6999999999999993,18.5
1753,Abra Ca Debora Sweet Pancakes,6.0,"pack, 375 g",2.45,2.0,0.4500000000000002,18.4
941,Fage Total 0%Fat Greek Recipe Yogurt,950.0,g,5.5,4.5,1.0,18.2
1957,Peperami & Cheese Snack Box,50.0,g,1.65,1.35,0.2999999999999998,18.2
499,Rodda's Clotted Cream,227.0,g,2.75,2.25,0.5,18.2
1177,Fage Total 5% Fat Greek Recipe Yogurt,950.0,g,5.5,4.5,1.0,18.2
1429,Cauldron Foods Tofu Pieces,160.0,g,2.75,2.25,0.5,18.2
143,Tesco 5 Cheese Selection 450G,450.0,g,5.5,4.5,1.0,18.2
2081,Cauldron Hoisin Tofu Pieces,160.0,g,2.75,2.25,0.5,18.2
1635,Simon Howie Original Haggis,454.0,g,2.75,2.25,0.5,18.2
1111,Tesco Roast In The Bag Rotisserie Style Whole Chicken,1.5,kg,6.1,5.0,1.0999999999999996,18.0
